id,title,number,lon,lat,distance,image,street,housenumber,zip,city,freiplatzstatus/0/gueltigAb,freiplatzstatus/0/plaetzeVerfuegbar,freiplatzstatus/1/gueltigAb,freiplatzstatus/1/plaetzeVerfuegbar,freiplatzstatus/2/gueltigAb,freiplatzstatus/2/plaetzeVerfuegbar,freiplatzstatus/3/gueltigAb,freiplatzstatus/3/plaetzeVerfuegbar,freiplatzstatus/4/gueltigAb,freiplatzstatus/4/plaetzeVerfuegbar,freiplatzstatus/5/gueltigAb,freiplatzstatus/5/plaetzeVerfuegbar,freiplatzstatus/6/gueltigAb,freiplatzstatus/6/plaetzeVerfuegbar,freiplatzstatus/7/gueltigAb,freiplatzstatus/7/plaetzeVerfuegbar,freiplatzstatus/8/gueltigAb,freiplatzstatus/8/plaetzeVerfuegbar
2401,Kita Lobeckstr. 11/Kigä City,02060180,13.404844737211254,52.50025476595674,0.21,/bilder/einrichtungsvorschau/2401,Lobeckstr.,11,10969,Berlin,2022-05-01,false,2022-06-01,false,2022-07-01,false,2022-08-01,true,2022-09-01,true,2022-10-01,true,2022-11-01,true,2022-12-01,true,2023-01-01,true
146129,Nestwärme,02062570,13.404498657902717,52.5033430341274,0.25,/fallback_einrichtung_vorschau.jpg,Ritterstr.,36,10969,Berlin,2022-05-01,true,2022-06-01,true,2022-07-01,true,2022-08-01,true,2022-09-01,true,2022-10-01,true,2022-11-01,true,2022-12-01,true,2023-01-01,true
379,Ev. Kita St. Simeon,02060470,13.406595921176553,52.50047347097207,0.3,/fallback_einrichtung_vorschau.jpg,Wassertorstr.,21A,10969,Berlin,2022-05-01,true,2022-06-01,true,2022-07-01,true,2022-08-01,true,2022-09-01,true,2022-10-01,true,2022-11-01,true,2022-12-01,true,2023-01-01,true
2432,EKT - Zappergeck,02060590,13.400280633817914,52.49899372727877,0.31,/fallback_einrichtung_vorschau.jpg,Alexandrinenstr.,1B,10969,Berlin,2022-05-01,true,2022-06-01,true,2022-07-01,true,2022-08-01,true,2022-09-01,true,2022-10-01,true,2022-11-01,true,2022-12-01,true,2023-01-01,true
2426,Waldorfkindergarten Kreuzberg,02061490,13.399026961408854,52.50345253667118,0.32,/fallback_einrichtung_vorschau.jpg,Alte Jakobstr.,10,10969,Berlin,2022-05-01,true,2022-06-01,true,2022-07-01,true,2022-08-01,true,2022-09-01,true,2022-10-01,true,2022-11-01,true,2022-12-01,true,2023-01-01,true
1012,Kita KOTTI,02062070,13.397752004281246,52.50091327456798,0.33,/fallback_einrichtung_vorschau.jpg,Alte Jakobstr.,172,10969,Berlin,2022-05-01,false,2022-06-01,false,2022-07-01,false,2022-08-01,true,2022-09-01,true,2022-10-01,true,2022-11-01,true,2022-12-01,true,2023-01-01,true
1579,Kita Milchstraße ,02060600,13.397884481790937,52.50237522286624,0.33,/fallback_einrichtung_vorschau.jpg,Alte Jakobstr.,135,10969,Berlin,2022-05-01,true,2022-06-01,true,2022-07-01,true,2022-08-01,true,2022-09-01,true,2022-10-01,true,2022-11-01,true,2022-12-01,true,2023-01-01,true
339129,Wildfang Kindergarten auf dem Dach,02062640,13.409997371380896,52.503055618265506,0.54,/fallback_einrichtung_vorschau.jpg,Prinzenstr.,85D,10969,Berlin,2022-06-01,true,2022-07-01,true,2022-08-01,true,2022-09-01,true,2022-10-01,true,2022-11-01,true,2022-12-01,true,2023-01-01,true,2023-02-01,true
1612,EKT - Wohnhof e.V.,02061100,13.39540611277954,52.50452467418794,0.59,/fallback_einrichtung_vorschau.jpg,Markgrafenstr.,8,10969,Berlin,2022-05-01,false,2022-06-01,false,2022-07-01,false,2022-08-01,true,2022-09-01,true,2022-10-01,true,2022-11-01,true,2022-12-01,true,2023-01-01,true
1598,EKT - Kindervilla Waldemar,02060870,13.400108770433548,52.496139426094956,0.61,/fallback_einrichtung_vorschau.jpg,Johanniterstr.,17,10961,Berlin,2022-05-01,true,2022-06-01,true,2022-07-01,true,2022-08-01,true,2022-09-01,true,2022-10-01,true,2022-11-01,true,2022-12-01,true,2023-01-01,true
777,Kita Markgrafenstraße,02061870,13.39449242767585,52.50424614245604,0.63,/bilder/einrichtungsvorschau/777,Markgrafenstr.,80,10969,Berlin,2022-05-01,false,2022-06-01,false,2022-07-01,false,2022-08-01,true,2022-09-01,true,2022-10-01,true,2022-11-01,true,2022-12-01,true,2023-01-01,true
2875,Kita Stallschreiber Str.13,02062400,13.40881873934677,52.50615428303529,0.67,/bilder/einrichtungsvorschau/2875,Stallschreiberstr.,13,10969,Berlin,2022-05-01,true,2022-06-01,true,2022-07-01,true,2022-08-01,true,2022-09-01,true,2022-10-01,true,2022-11-01,true,2022-12-01,true,2023-01-01,true
